Student_ID,Gender,Age,City,College_Tier,Branch,Graduation_Year,Tenth_Percentage,Twelfth_Percentage,Diploma_Percentage,CGPA,Backlogs,Internship_Experience,Internship_Duration_Months,Projects_Count,Innovative_Project,Technical_Courses_Count,Primary_Skill,Secondary_Skill,SQL_Skill_Level,PowerBI_Skill_Level,Python_Skill_Level,Communication_Score,Aptitude_Score,Coding_Score,English_Score,Attendance_Percentage,Placement_Training,Mock_Interview_Score,Applied_Companies,Shortlisted_Companies,Interview_Rounds_Attended,Placement_Status,Company_Tier,Job_Role,Package_LPA,Placement_Channel,Offer_Date
STU20260011,Male,22,Noida,Tier 1,Computer Science,2025,96.5,78.8,,7.82,4,No,0,2,No,5,SQL,Java,Intermediate,Advanced,Intermediate,88.1,55.5,54.3,76.8,72.0,No,65.6,10,0,1,Not Placed,,,,,
STU20260012,Female,22,Noida,Tier 2,AI & ML,2026,77.0,66.6,,6.24,2,No,0,1,No,1,Python,Tableau,None,Intermediate,Intermediate,73.7,39.1,58.7,80.1,79.1,Yes,65.3,9,0,1,Not Placed,,,,,
STU20260013,Male,21,Pune,Tier 3,Computer Science,2024,64.3,61.2,,6.72,1,Yes,2,1,Yes,2,C++,SQL,Intermediate,Intermediate,Beginner,84.6,52.9,51.6,64.1,78.2,No,82.9,9,2,2,Not Placed,,,,,
STU20260014,Female,21,Jaipur,Tier 3,Computer Science,2024,70.8,59.2,,6.25,0,No,0,0,No,3,Python,Cloud Basics,Intermediate,Beginner,Beginner,58.4,66.8,55.3,44.9,63.2,Yes,64.5,18,2,0,Not Placed,,,,,
STU20260015,Male,20,Noida,Tier 3,Civil,2024,64.6,68.1,,6.94,2,No,0,3,No,3,Power BI,Excel,Advanced,Intermediate,Beginner,44.4,74.4,38.9,36.6,70.3,No,69.0,11,1,1,Not Placed,,,,,
STU20260016,Female,22,Mumbai,Tier 3,AI & ML,2025,77.8,84.7,,8.14,0,Yes,4,4,Yes,4,Python,C++,Advanced,Advanced,Advanced,80.4,56.4,86.8,69.3,50,Yes,56.6,9,5,4,Placed,Tier 2,Data Engineer Intern,6.39,Campus Drive,2026-04-22
STU20260017,Male,23,Ghaziabad,Tier 2,Information Technology,2026,76.1,86.5,,8.6,0,Yes,3,5,No,3,Python,Tableau,Intermediate,Advanced,Advanced,92.3,82.4,90.8,59.2,99,No,96.3,10,8,3,Placed,Tier 2,QA Analyst,6.06,Campus Drive,2026-03-21
STU20260018,Female,21,Delhi,Tier 1,Mechanical,2026,92.7,77.3,,6.91,0,No,0,1,No,1,Cloud Basics,Tableau,Intermediate,None,Beginner,51.9,50.8,88.7,62.4,80.3,No,62.3,6,2,0,Not Placed,,,,,
STU20260019,Male,23,Delhi,Tier 3,Electronics,2026,70.3,57.6,,5.85,0,No,0,1,No,0,Power BI,C++,None,Beginner,None,60.1,57.0,83.4,53.1,88.1,No,54.3,12,1,2,Not Placed,,,,,
STU20260020,Female,24,Mumbai,Tier 2,Information Technology,2025,89.8,86.7,70.0,9.36,3,No,0,4,No,3,Power BI,Cloud Basics,Advanced,Advanced,Advanced,72.7,77.7,62.4,70.8,70.9,Yes,69.7,11,3,5,Placed,Tier 2,Business Analyst,5.5,Campus Drive,2026-05-08
STU20260021,Female,21,Pune,Tier 2,Mechanical,2025,73.1,69.9,,7.94,0,Yes,1,4,Yes,2,Power BI,Cloud Basics,Intermediate,Intermediate,Advanced,72.3,60.2,52.2,54.9,62.0,No,47.6,9,3,1,Not Placed,,,,,
STU20260022,Female,22,Delhi,Tier 1,Information Technology,2026,85.1,77.1,,7.77,1,No,0,4,No,3,SQL,Excel,Advanced,Advanced,Advanced,74.3,62.5,60.5,44.8,76.7,No,60.7,12,3,0,Not Placed,,,,,
STU20260023,Male,21,Noida,Tier 3,Electronics,2026,85.0,81.3,,8.01,0,No,0,3,No,2,C++,Excel,Intermediate,Intermediate,Intermediate,54.8,79.0,65.0,25,78.6,No,47.6,12,1,4,Placed,Tier 3,Data Analyst,4.89,Campus Drive,2026-05-05
STU20260024,Female,21,Dehradun,Tier 1,AI & ML,2026,81.4,84.1,,8.49,4,No,0,3,No,4,Python,Java,Advanced,Advanced,Advanced,84.5,65.8,70.5,58.4,71.7,No,38.6,8,1,1,Not Placed,,,,,
STU20260025,Female,21,Mumbai,Tier 2,Information Technology,2026,93.7,98,,9.8,0,Yes,3,3,Yes,2,SQL,Tableau,Advanced,Advanced,Advanced,98,80.3,66.9,53.2,76.4,No,84.2,16,14,3,Placed,Tier 3,QA Analyst,5.32,Campus Drive,2026-04-01
STU20260026,Female,21,Lucknow,Tier 1,Electronics,2026,69.2,60.7,,7.13,2,No,0,3,No,1,Java,Cloud Basics,Intermediate,None,None,42.6,31.5,81.5,54.6,70.6,No,50.3,13,1,2,Not Placed,,,,,
STU20260027,Male,22,Noida,Tier 2,Computer Science,2025,64.4,56.7,,7.08,0,Yes,6,5,Yes,2,Power BI,Excel,Advanced,Intermediate,Beginner,73.7,55.1,68.2,98,69.2,Yes,87.8,12,5,4,Placed,Tier 2,Business Analyst,8.24,Campus Drive,2026-05-10
STU20260028,Other,21,Hyderabad,Tier 3,Information Technology,2026,70.2,56.0,66.6,5.21,2,No,0,0,No,3,Java,Power BI,None,Beginner,None,49.8,59.1,41.2,48.1,75.0,No,61.1,16,1,3,Not Placed,,,,,
STU20260029,Male,23,Mumbai,Tier 2,Electrical,2025,81.2,66.8,,7.98,0,No,0,5,No,2,Cloud Basics,Java,Intermediate,Intermediate,Intermediate,30.0,74.5,75.8,50.4,73.9,Yes,53.3,10,2,3,Not Placed,,,,,
STU20260030,Male,22,Lucknow,Tier 2,Electronics,2026,79.2,74.8,69.8,9.69,0,Yes,3,5,Yes,1,Java,Machine Learning,Advanced,Advanced,Advanced,98,58.5,43.9,53.1,71.9,Yes,71.9,9,8,5,Placed,Tier 2,Support Engineer,6.53,Campus Drive,2026-06-12
STU20260031,Male,21,Bengaluru,Tier 3,Electrical,2024,77.0,86.1,,9.12,4,No,0,3,Yes,3,Tableau,Python,Advanced,Advanced,Advanced,59.0,86.3,60.6,64.5,80.1,Yes,79.7,18,6,3,Placed,Tier 3,Data Analyst,4.51,Campus Drive,2026-02-24
STU20260032,Male,20,Delhi,Tier 2,Information Technology,2026,71.9,71.6,,7.14,1,Yes,3,1,Yes,4,Python,SQL,Intermediate,Advanced,Beginner,71.3,74.5,80.6,73.8,79.3,No,52.7,13,3,1,Not Placed,,,,,
STU20260033,Male,22,Pune,Tier 3,Electrical,2026,72.1,72.0,,7.85,0,No,0,2,No,2,Java,C++,Advanced,Advanced,Intermediate,70.0,67.5,40.9,72.7,77.2,Yes,74.9,18,3,1,Not Placed,,,,,
STU20260034,Female,23,Ghaziabad,Tier 3,Computer Science,2025,75.4,76.9,,8.26,2,Yes,3,5,Yes,3,Python,Excel,Advanced,Advanced,Advanced,85.2,71.3,77.3,71.9,57.5,Yes,77.6,15,11,3,Not Placed,,,,,
STU20260035,Male,21,Gurugram,Tier 2,Computer Science,2025,85.3,74.7,,9.1,2,Yes,3,4,No,3,Python,Cloud Basics,Advanced,Advanced,Advanced,72.9,70.1,65.6,51.0,72.7,Yes,69.4,14,8,5,Placed,Tier 2,Backend Developer,6.09,Campus Drive,2026-01-16
STU20260036,Female,20,Gurugram,Tier 3,Electronics,2026,59.8,58.9,,5.67,1,No,0,0,No,1,Power BI,SQL,None,Intermediate,None,70.3,45.3,52.4,54.0,68.1,No,60.0,14,1,2,Not Placed,,,,,
STU20260037,Male,22,Delhi,Tier 2,Mechanical,2025,77.4,68.1,,6.64,0,Yes,2,2,Yes,2,Cloud Basics,Machine Learning,Beginner,Beginner,Beginner,64.4,46.1,31.0,40.6,56.3,Yes,75.5,14,1,2,Not Placed,,,,,
STU20260038,Female,21,Delhi,Tier 2,Computer Science,2025,81.5,76.8,,8.84,0,No,0,2,No,3,Java,Excel,Advanced,Advanced,Advanced,62.9,83.5,84.3,65.5,98.9,Yes,88.3,11,5,3,Placed,Tier 3,Data Analyst,4.83,Campus Drive,2026-03-12
STU20260039,Female,21,Chandigarh,Tier 3,Computer Science,2026,80.7,75.1,,8.16,0,Yes,4,5,Yes,3,SQL,Python,Advanced,Intermediate,Advanced,72.1,59.5,79.3,60.4,69.4,Yes,62.2,17,14,3,Not Placed,,,,,
STU20260040,Female,20,Lucknow,Tier 2,Computer Science,2025,86.8,82.6,,9.58,0,Yes,4,8,Yes,2,Python,C++,Advanced,Advanced,Advanced,76.1,77.9,86.3,60.7,73.9,No,64.9,11,9,4,Placed,Tier 3,QA Analyst,5.47,Campus Drive,2026-02-10
STU20260041,Female,22,Pune,Tier 2,Civil,2026,61.6,64.6,,5.83,3,Yes,2,2,No,3,Excel,Power BI,None,Intermediate,None,51.6,51.7,49.9,31.2,76.8,Yes,50.7,16,3,3,Placed,Startup,Support Engineer,3.16,Campus Drive,2026-03-04
STU20260042,Female,22,Mumbai,Tier 1,Information Technology,2026,78.4,72.3,,7.45,0,Yes,4,3,No,3,SQL,Java,Intermediate,Beginner,Beginner,54.0,49.7,52.9,80.0,85.9,Yes,44.5,8,3,0,Not Placed,,,,,
STU20260043,Male,22,Noida,Tier 3,Mechanical,2025,66.7,74.3,,7.14,0,Yes,4,4,Yes,3,C++,Java,Advanced,Intermediate,Advanced,56.1,43.3,70.7,48.9,89.3,No,58.2,17,7,1,Not Placed,,,,,
STU20260044,Female,22,Delhi,Tier 3,Electronics,2025,80.8,80.3,81.8,7.73,4,No,0,2,Yes,4,Power BI,Excel,Advanced,Advanced,Beginner,49.5,73.3,56.6,31.9,53.8,No,81.0,4,0,2,Not Placed,,,,,
STU20260045,Female,20,Jaipur,Tier 3,Mechanical,2025,85.6,89.3,,8.33,1,Yes,1,2,No,0,SQL,Excel,Intermediate,Advanced,Intermediate,98,70.3,33.1,80.7,78.5,No,70.2,12,4,3,Placed,Tier 3,Product Analyst Intern,3.28,Campus Drive,2026-04-12
STU20260046,Male,22,Jaipur,Tier 2,Electronics,2026,77.0,78.9,,7.36,0,Yes,2,3,No,3,Cloud Basics,Machine Learning,Beginner,Beginner,Beginner,69.2,72.1,89.4,86.1,78.8,No,82.0,13,5,0,Not Placed,,,,,
STU20260047,Male,22,Dehradun,Tier 1,Information Technology,2025,77.7,89.8,,9.16,0,Yes,3,1,Yes,3,C++,SQL,Advanced,Advanced,Advanced,57.7,66.9,80.8,56.0,97.2,Yes,63.6,7,5,2,Not Placed,,,,,
STU20260048,Female,21,Bengaluru,Tier 2,Data Science,2024,82.7,83.9,,8.19,0,No,0,4,No,3,Tableau,Java,Intermediate,Intermediate,Advanced,58.6,57.4,80.8,67.0,79.7,No,53.9,8,2,0,Not Placed,,,,,
STU20260049,Male,22,Jaipur,Tier 3,Electrical,2025,67.5,59.5,,5.32,0,No,0,2,No,0,Excel,SQL,None,None,None,51.4,58.2,64.0,49.9,81.2,Yes,62.6,16,1,0,Not Placed,,,,,
STU20260050,Male,21,Delhi,Tier 1,AI & ML,2026,60.9,69.0,,7.84,1,Yes,2,1,No,0,Python,SQL,Advanced,Intermediate,Advanced,76.9,64.0,83.6,80.2,81.8,No,54.7,6,3,2,Not Placed,,,,,
STU20260051,Female,22,Gurugram,Tier 2,Mechanical,2025,68.2,63.2,,6.29,1,No,0,4,Yes,2,Cloud Basics,C++,Beginner,Intermediate,Beginner,57.3,59.3,45.0,52.8,76.3,No,58.1,16,1,2,Not Placed,,,,,
STU20260052,Male,23,Gurugram,Tier 2,Mechanical,2026,67.1,59.8,,5.2,2,No,0,1,No,0,Java,Excel,None,None,None,43.2,63.1,45.3,55.7,71.5,Yes,41.9,14,1,0,Not Placed,,,,,
STU20260053,Female,22,Noida,Tier 2,Electronics,2025,88.4,89.1,,9.76,0,No,0,3,No,0,Python,Cloud Basics,Advanced,Advanced,Advanced,83.2,67.1,49.2,85.5,83.9,No,46.9,10,5,3,Placed,Tier 2,QA Analyst,5.5,Off Campus,2026-06-07
STU20260054,Female,21,Ghaziabad,Tier 2,AI & ML,2026,98,93.5,,9.8,2,Yes,2,4,Yes,2,Machine Learning,SQL,Advanced,Advanced,Advanced,73.5,69.2,35.9,59.0,80.8,No,56.6,9,4,1,Not Placed,,,,,
STU20260055,Female,20,Ghaziabad,Tier 3,Computer Science,2026,88.4,86.7,,7.55,2,No,0,4,Yes,4,Java,SQL,Advanced,Intermediate,Advanced,64.6,59.0,74.4,73.6,71.2,No,62.2,13,2,2,Not Placed,,,,,
STU20260056,Female,21,Delhi,Tier 2,Mechanical,2026,70.4,63.9,,7.06,0,No,0,3,Yes,3,C++,Java,Beginner,Intermediate,Beginner,73.5,81.4,69.3,50.7,78.4,No,57.6,20,4,0,Not Placed,,,,,
STU20260057,Female,21,Delhi,Tier 2,Information Technology,2025,79.4,90.7,,8.92,0,No,0,5,No,4,Power BI,Machine Learning,Advanced,Advanced,Advanced,72.2,72.3,56.7,46.9,67.4,Yes,77.5,22,7,3,Placed,Tier 2,QA Analyst,6.17,Off Campus,2026-06-27
STU20260058,Male,21,Chandigarh,Tier 3,Computer Science,2025,76.0,70.9,,8.0,0,No,0,3,Yes,2,SQL,Tableau,Advanced,Intermediate,Advanced,82.9,60.5,79.8,77.4,87.9,No,45.7,11,6,2,Placed,Tier 3,Data Analyst,5.33,Campus Drive,2026-03-23
STU20260059,Male,24,Bengaluru,Tier 1,AI & ML,2024,68.1,73.5,,8.63,0,No,0,3,No,4,Python,Power BI,Advanced,Advanced,Advanced,47.8,51.4,79.4,55.5,76.6,Yes,72.1,9,3,2,Not Placed,,,,,
STU20260060,Male,21,Noida,Tier 3,Civil,2024,70.9,71.9,,6.51,2,Yes,2,3,No,2,Java,Excel,Beginner,None,Beginner,44.9,45.8,56.4,49.2,79.1,No,51.0,10,0,2,Not Placed,,,,,
STU20260061,Male,23,Hyderabad,Tier 2,Electronics,2025,65.7,60.0,,6.56,0,Yes,2,4,No,1,Java,Machine Learning,None,Beginner,Intermediate,77.0,30.9,70.2,61.1,90.1,No,70.8,12,2,0,Not Placed,,,,,
STU20260062,Male,22,Bengaluru,Tier 3,Computer Science,2026,75.3,75.6,,8.19,0,No,0,3,No,4,Python,Cloud Basics,Intermediate,Advanced,Advanced,74.3,60.7,93.7,84.4,81.3,No,39.9,11,3,3,Placed,Tier 3,QA Analyst,5.26,Campus Drive,2026-03-10
STU20260063,Male,21,Faridabad,Tier 1,AI & ML,2025,87.6,95.1,,8.64,0,No,0,3,Yes,3,Machine Learning,C++,Advanced,Intermediate,Intermediate,62.7,63.7,40.6,52.9,74.9,Yes,86.2,8,3,4,Placed,Tier 3,Business Analyst,5.04,Referral,2026-05-21
STU20260064,Female,21,Mumbai,Tier 1,Electrical,2024,82.0,84.3,,8.59,0,Yes,2,3,No,2,Cloud Basics,Machine Learning,Advanced,Intermediate,Advanced,72.3,69.3,65.6,50.7,80.3,No,77.9,1,1,5,Placed,Tier 3,Data Engineer Intern,5.23,Campus Drive,2026-03-09
STU20260065,Female,20,Bengaluru,Tier 2,Information Technology,2026,77.0,70.4,88.3,8.16,0,Yes,2,3,No,2,SQL,Machine Learning,Advanced,Intermediate,Advanced,57.3,95.1,69.4,67.6,78.3,No,58.4,8,6,3,Placed,Tier 3,Product Analyst Intern,4.59,Campus Drive,2026-03-01
STU20260066,Female,22,Chandigarh,Tier 3,Electronics,2024,78.5,81.6,,7.11,0,No,0,4,Yes,4,Python,C++,Beginner,Intermediate,Advanced,63.9,47.6,98,73.9,75.8,No,66.7,15,2,3,Not Placed,,,,,
STU20260067,Male,22,Lucknow,Tier 1,Mechanical,2026,78.5,75.7,,7.46,1,No,0,2,Yes,1,Excel,Java,Intermediate,Intermediate,Beginner,78.6,67.1,37.0,62.5,80.5,No,67.5,4,0,0,Not Placed,,,,,
STU20260068,Male,22,Dehradun,Tier 2,AI & ML,2025,65.4,61.8,,6.37,0,Yes,2,3,Yes,3,Machine Learning,Cloud Basics,Beginner,None,None,56.4,45.4,98,51.5,87.0,No,48.6,18,10,0,Not Placed,,,,,
STU20260069,Male,23,Noida,Tier 2,AI & ML,2026,60.2,55.0,,6.72,0,Yes,2,3,Yes,2,Python,Power BI,Intermediate,Intermediate,Advanced,50.1,63.8,65.7,61.3,71.3,No,33.8,10,4,0,Not Placed,,,,,
STU20260070,Female,22,Chandigarh,Tier 1,AI & ML,2025,72.3,75.9,,7.65,1,Yes,4,2,No,2,C++,Java,Beginner,Intermediate,Intermediate,66.4,47.9,52.8,73.8,76.3,No,61.8,11,3,4,Placed,Tier 3,Product Analyst Intern,4.43,Campus Drive,2026-06-19
STU20260071,Female,20,Hyderabad,Tier 2,Information Technology,2026,92.6,98,,9.64,1,Yes,2,5,Yes,3,Excel,SQL,Advanced,Advanced,Advanced,67.5,57.6,55.7,81.3,99,Yes,70.9,14,11,3,Placed,Tier 2,Product Analyst Intern,5.77,Off Campus,2026-04-01
STU20260072,Female,23,Ghaziabad,Tier 2,Computer Science,2025,76.5,86.8,,7.9,0,Yes,2,2,Yes,2,Cloud Basics,Java,Intermediate,Intermediate,Intermediate,61.4,48.9,98,45.2,69.6,No,50.9,19,11,3,Placed,Tier 2,Frontend Developer,5.91,Campus Drive,2026-02-17
STU20260073,Male,22,Jaipur,Tier 2,Electronics,2025,95.2,84.2,,8.8,0,No,0,4,No,4,Python,Tableau,Advanced,Advanced,Advanced,45.3,47.7,78.8,36.0,92.1,Yes,62.7,13,5,1,Not Placed,,,,,
STU20260074,Male,21,Chandigarh,Tier 3,Mechanical,2024,81.0,89.4,,9.63,0,No,0,5,No,3,Cloud Basics,SQL,Advanced,Advanced,Advanced,74.9,70.6,69.4,90.0,99,Yes,85.4,13,7,1,Not Placed,,,,,
STU20260075,Female,22,Ghaziabad,Tier 2,Electrical,2026,80.0,68.2,,6.55,3,No,0,2,No,3,Cloud Basics,SQL,Beginner,Intermediate,Beginner,55.6,59.3,59.7,49.1,59.0,Yes,71.7,17,2,0,Not Placed,,,,,
STU20260076,Female,22,Gurugram,Tier 1,Electrical,2026,70.5,57.6,,6.53,2,No,0,0,No,2,C++,SQL,Intermediate,Beginner,Beginner,57.2,55.6,44.0,58.2,67.0,Yes,68.3,12,1,1,Not Placed,,,,,
STU20260077,Male,21,Dehradun,Tier 1,Computer Science,2026,76.5,75.5,,7.88,3,Yes,3,3,Yes,2,Machine Learning,Tableau,Beginner,Intermediate,Beginner,68.3,45.0,41.1,79.8,78.7,No,57.5,5,1,2,Placed,Tier 2,Data Analyst,5.6,Campus Drive,2026-06-15
STU20260078,Male,22,Mumbai,Tier 3,Electronics,2024,83.0,84.4,,8.91,2,Yes,4,5,No,5,Excel,SQL,Advanced,Advanced,Advanced,98,68.9,98,88.8,73.7,No,74.9,21,16,3,Placed,Tier 2,Data Analyst,7.4,Campus Drive,2026-06-03
STU20260079,Male,22,Dehradun,Tier 2,AI & ML,2024,89.5,74.1,,7.33,0,No,0,2,No,3,Python,Tableau,Intermediate,Intermediate,Advanced,54.1,98,74.4,64.8,77.1,No,52.9,12,4,2,Not Placed,,,,,
STU20260080,Male,20,Noida,Tier 1,Computer Science,2026,58.7,45.5,,5.0,0,Yes,3,1,No,2,Python,Tableau,Beginner,None,None,41.1,37.7,56.5,40.5,68.4,No,61.8,12,2,0,Not Placed,,,,,
STU20260081,Female,20,Lucknow,Tier 3,Computer Science,2024,77.9,76.8,,7.38,1,Yes,2,4,No,4,SQL,Excel,Advanced,Intermediate,Intermediate,54.4,55.8,98,49.3,69.6,No,80.0,16,7,5,Placed,Tier 2,Software Engineer,6.3,Campus Drive,2026-05-01
STU20260082,Male,23,Noida,Tier 2,Information Technology,2024,94.1,85.5,,9.65,0,Yes,2,3,No,3,Python,Excel,Advanced,Advanced,Advanced,83.8,78.3,76.3,59.8,87.5,No,59.9,16,14,3,Placed,Tier 2,Data Analyst,7.35,Campus Drive,2026-03-19
STU20260083,Female,24,Chandigarh,Tier 3,Mechanical,2026,86.2,98,61.0,9.51,1,Yes,2,4,No,1,SQL,Tableau,Advanced,Advanced,Advanced,98,87.1,61.3,69.2,99,No,59.8,11,6,0,Not Placed,,,,,
STU20260084,Male,20,Mumbai,Tier 1,Mechanical,2025,84.4,81.1,,7.8,1,No,0,4,Yes,2,Excel,Power BI,Beginner,Intermediate,Intermediate,73.3,46.6,73.0,73.6,77.0,Yes,66.0,11,3,4,Placed,Tier 3,Business Analyst,4.32,Campus Drive,2026-06-08
STU20260085,Female,21,Delhi,Tier 2,Electrical,2024,92.9,86.2,,8.39,0,No,0,3,Yes,4,SQL,Tableau,Advanced,Advanced,Advanced,79.1,55.6,58.3,66.5,98.6,Yes,95.7,16,10,4,Placed,Tier 2,Data Analyst,5.89,Referral,2026-01-06
STU20260086,Female,21,Dehradun,Tier 2,Information Technology,2025,66.0,77.9,,7.63,0,No,0,3,No,0,Python,SQL,Intermediate,Beginner,Intermediate,64.7,76.0,52.0,47.9,68.0,No,85.0,13,2,2,Not Placed,,,,,
STU20260087,Male,21,Delhi,Tier 2,Computer Science,2026,76.1,74.6,,7.49,0,No,0,6,Yes,3,Java,Tableau,Advanced,Advanced,Advanced,69.7,28.6,40.5,48.7,63.4,No,73.8,15,5,2,Not Placed,,,,,
STU20260088,Male,22,Dehradun,Tier 2,Mechanical,2024,92.2,85.3,,9.38,0,Yes,1,3,No,3,SQL,Tableau,Advanced,Advanced,Advanced,79.4,81.0,41.5,74.1,87.0,No,71.0,14,8,4,Placed,Tier 3,Software Engineer,5.05,Campus Drive,2026-03-05
STU20260089,Female,22,Ghaziabad,Tier 2,Electronics,2025,73.9,62.0,,5.86,1,No,0,1,No,1,Excel,Machine Learning,Beginner,Beginner,None,65.3,56.4,70.7,68.8,61.0,No,70.7,18,3,0,Not Placed,,,,,
STU20260090,Female,24,Mumbai,Tier 3,Civil,2025,77.9,81.4,,8.12,0,No,0,3,No,2,Power BI,Python,Advanced,Advanced,Advanced,60.7,63.8,37.3,64.3,73.4,Yes,50.8,20,6,0,Not Placed,,,,,
STU20260091,Female,20,Delhi,Tier 2,Electrical,2026,79.2,75.1,,7.0,0,No,0,1,Yes,2,Excel,Tableau,Intermediate,Beginner,Beginner,60.1,75.6,52.0,55.7,71.6,Yes,56.3,17,3,0,Not Placed,,,,,
STU20260092,Female,22,Ghaziabad,Tier 1,Computer Science,2026,81.3,88.3,73.7,9.34,2,Yes,3,3,No,2,SQL,Excel,Advanced,Advanced,Advanced,86.6,65.1,77.7,70.6,67.7,Yes,64.6,12,7,2,Not Placed,,,,,
STU20260093,Female,21,Faridabad,Tier 3,Electronics,2026,68.9,63.7,,6.43,1,No,0,4,No,1,Tableau,SQL,Advanced,Beginner,Intermediate,64.2,62.5,63.7,65.8,86.3,Yes,76.9,15,1,0,Not Placed,,,,,
STU20260094,Female,22,Delhi,Tier 2,Mechanical,2026,56.1,51.9,68.7,5.0,1,Yes,3,2,No,0,Python,SQL,Beginner,None,Beginner,67.3,39.4,40.3,50.6,64.5,Yes,65.1,11,1,1,Not Placed,,,,,
STU20260095,Female,22,Delhi,Tier 2,Information Technology,2025,69.6,79.7,,8.86,1,No,0,1,No,2,Java,C++,Intermediate,Advanced,Advanced,89.8,70.0,82.2,80.3,68.4,No,83.6,7,4,1,Not Placed,,,,,
STU20260096,Male,23,Pune,Tier 1,Computer Science,2026,87.5,88.6,,8.79,2,No,0,3,No,5,Java,SQL,Advanced,Advanced,Advanced,38.0,74.8,61.0,55.7,69.8,Yes,84.0,9,2,2,Placed,Tier 2,Frontend Developer,6.22,Off Campus,2026-06-08
STU20260097,Female,21,Gurugram,Tier 1,Electrical,2026,65.6,81.2,,8.35,0,Yes,2,4,No,2,Java,Machine Learning,Advanced,Advanced,Advanced,75.6,78.4,46.8,64.3,81.1,No,64.8,16,9,3,Placed,Tier 3,Backend Developer,5.18,Campus Drive,2026-03-21
STU20260098,Male,21,Lucknow,Tier 3,Civil,2025,87.4,79.5,71.4,8.64,0,Yes,1,2,Yes,1,Cloud Basics,C++,Intermediate,Beginner,Advanced,77.7,60.0,61.5,65.9,76.6,No,68.6,4,1,2,Not Placed,,,,,
STU20260099,Female,21,Delhi,Tier 1,Information Technology,2026,79.2,77.6,,7.63,0,Yes,2,3,No,2,Power BI,Java,Intermediate,Advanced,Beginner,87.9,69.7,47.5,62.7,74.1,Yes,76.4,7,4,4,Placed,Tier 2,Product Analyst Intern,6.99,Referral,2026-04-05
